Hospital Name,City,County,Rank,Risk Level,Composite Score,Operating Margin,Days Cash on Hand,Debt to Asset Ratio,Labor Cost Pct,Uncompensated Care Pct,Score - Margin,Score - Days Cash,Score - Debt,Score - Labor,Score - Uncompensated,Net Income,Net Patient Revenue,Total Costs,Total Assets,Total Liabilities,Cash on Hand,Total Salaries
J KENT MCNEW FAMILY MEDICAL CENTER,ANNAPOLIS,Anne Arundel County,1,Critical,21,-0.11707115083516625,0.04800646259053657,1.1484670224784759,0.6076818494667271,,5,5,5,3,3,-836023.0,7141153.0,7603143.0,25669000.0,29480000.0,1000.0,4620292.0
ST. AGNES HOSPITAL,BALTIMORE,Baltimore City,2,High,19,-0.05669051425482952,5.717067367202971,0.5244387679996751,0.7792335641871256,0.02868203717783402,5,4,3,5,2,-27040267.0,476980450.0,305415530.0,472289356.0,247686848.0,4783784.0,237990032.0
FORT WASHINGTON MEDICAL CENTER,FORT WASHINGTON,Prince Georges County,3,High,19,-0.049291123786956936,-46.61833990945667,0.7698232734593274,0.554158417084737,,4,5,4,3,3,-2815112.0,57111946.0,50972280.0,52910106.0,40731431.0,-6510255.0,28246718.0
DOCTORS COMMUNITY HOSPITAL,LANHAM,Prince Georges County,4,High,18,-0.028970420582786836,3.2298105186206114,0.9029158606773885,0.423339161796107,,4,5,5,1,3,-7188700.0,248139304.0,226810519.0,251761000.0,227319000.0,2007000.0,96017775.0
ST. JOSEPH MEDICAL CENTER,TOWSON,Baltimore County,5,High,17,0.00042317834524704793,0.38268202629225123,0.953758836237201,0.39707764132591283,,3,5,5,1,3,178000.0,420626438.0,351950159.0,391145000.0,373058000.0,369000.0,139751539.0
AHC WHITE OAK MEDICAL CENTER,SILVER SPRING,Montgomery County,6,High,17,0.0007683819571493031,-124.93711084959227,0.9843517514630435,0.4015728018710799,,3,5,5,1,3,239382.0,311540371.0,283409378.0,456112707.0,448975342.0,-97009175.0,113809498.0
MARYLAND GENERAL HOSPITAL,BALTIMORE,Baltimore City,7,High,16,-0.06294055894123643,2.2825796144155808,0.25733860181129453,0.487298812753154,,5,5,1,2,3,-14808000.0,235269598.0,193487227.0,195882000.0,50408000.0,1210000.0,94286096.0
ATLANTIC GENERAL HOSPITAL,BERLIN,Worcester County,8,High,16,-0.012577594688887112,71.08493959749312,0.6224784255683568,1.0472182984464746,,4,1,3,5,3,-1888523.0,150149774.0,70409081.0,146428307.0,91148462.0,13712398.0,73733678.0
GREATER BALTIMORE MEDICAL CENTER,TOWSON,Baltimore County,9,High,16,0.00813585496389544,30.071923186146893,0.536550971205022,0.9852797727602517,,3,2,3,5,3,3544403.0,435652186.0,312857942.0,901303000.0,483595000.0,25776000.0,308252602.0
MEDSTAR HARBOR HOSPITAL,BALTIMORE,Baltimore City,10,High,16,-0.01975149223206895,0.01643685496949572,0.4297202555469969,0.5187786299303236,0.051986142712225555,4,5,2,2,3,-3751323.0,189926055.0,162726994.0,94784757.0,40730930.0,7328.0,84419287.0
CALVERT MEMORIAL HOSPITAL,PRINCE FREDERICK,Calvert County,11,High,16,-0.005718258283867051,8.632687816901461,0.6017572985434193,0.5093507130609324,,4,4,3,2,3,-921428.0,161137877.0,139287185.0,144628584.0,87031306.0,3294309.0,70946027.0
UNION HOSPITAL OF CECIL COUNTY,ELKTON,Cecil County,12,Moderate,15,0.014567238871719169,73.53473204072498,0.8290339346143328,0.7361084304521311,0.012329373451481399,3,1,5,5,1,3067838.0,210598455.0,132585558.0,202214439.0,167642632.0,26711352.0,97597347.0
UNIV OF MD CAPITAL REGION MED CTR,LAUREL,Prince Georges County,13,Moderate,15,-0.10046947957555798,,0.574858172792814,0.42168064723720283,,5,3,3,1,3,-42815000.0,426149316.0,374751635.0,744568000.0,428021000.0,,158025512.0
HOLY CROSS GERMANTOWN HOSPITAL,GERMANTOWN,Montgomery County,14,Moderate,15,-0.014405527077005043,103.11745535597734,0.8944842271978831,0.4997708704354634,,4,1,5,2,3,-2074171.0,143984388.0,124025898.0,207097000.0,185245000.0,35039000.0,61984531.0
KENNEDY KRIEGER,BALTIMORE,Baltimore City,15,Moderate,15,0.028160035471683793,20.51394140323732,0.4800553499257677,0.9881849982440144,,2,3,2,5,3,6355562.0,225694389.0,226211985.0,365983508.0,175692341.0,12713697.0,223539290.0
MEDSTAR MONTGOMERY MEDICAL CENTER,OLNEY,Montgomery County,16,Moderate,14,-0.07002264734464121,0.7673574999717154,0.1627589747192258,0.4348701673606121,0.03810152798952772,5,5,1,1,2,-12889388.0,184074560.0,173062106.0,109723934.0,17858555.0,363837.0,75259547.0
JOHNS HOPKINS BAYVIEW MED. CTR.,BALTIMORE,Baltimore City,17,Moderate,14,0.017235084152660698,20.209094397080804,0.7161212358743223,0.4229255916320505,,3,3,4,1,3,11801000.0,684708000.0,601112042.0,459270000.0,328893000.0,33282000.0,254225666.0
FREDERICK MEMORIAL HOSPITAL,FREDERICK,Frederick County,18,Moderate,14,0.05217969516938292,0.94895519230931,0.5669108495482592,0.5176246526456878,,1,5,3,2,3,20924000.0,400998893.0,347708725.0,682139000.0,386712000.0,904000.0,179982608.0
UPPER CHESAPEAKE MEDICAL CENTER,BEL AIR,Harford County,19,Moderate,14,0.030029028681102982,0.24694643462253044,0.5637785431213437,0.4495511799990644,,2,5,3,1,3,11139000.0,370941069.0,286742346.0,847840000.0,477994000.0,194000.0,128905360.0
NORTHWEST HOSPITAL CENTER,RANDALLSTOWN,Baltimore County,20,Moderate,14,-0.0020854530035751785,67.0943756295377,0.6503112610107461,0.46811049215663625,,4,1,4,2,3,-577350.0,276846325.0,220884312.0,222964000.0,144996000.0,40603000.0,103398264.0
MEDSTAR SOUTHERN MARYLAND HOSPITAL C,CLINTON,Prince Georges County,21,Moderate,14,-0.11371931204127864,-0.01622114143633544,0.20704705028484663,0.38585985850611204,0.04619853145975338,5,5,1,1,2,-31313731.0,275359835.0,260162333.0,169989024.0,35195726.0,-11562.0,100386201.0
ENCOMPASS HEALTH REHABILITATION HOSP,BOWIE,Maryland,22,Moderate,14,0.053630992274239724,-81.05461975550716,0.5236345512566967,0.4864752061721814,,1,5,3,2,3,1678051.0,31288830.0,30414142.0,54339407.0,28453991.0,-6753991.0,14795726.0
MEDSTAR UNION MEMORIAL HOSPITAL,BALTIMORE,Baltimore City,23,Moderate,14,-0.007290346453278399,0.019343589791316094,0.20853306593440374,0.45141103931400944,0.023111794258648545,4,5,1,2,2,-3083562.0,422965084.0,317192934.0,256409902.0,53469943.0,16810.0,143184392.0
BROOK LANE PSYCHIATRIC CENTER,HAGERSTOWN,Washington County,24,Moderate,14,0.029804161466264908,39.3064612142171,0.35555885139588417,0.7397567398653422,,2,2,2,5,3,744545.0,24981243.0,22154226.0,28358979.0,10083286.0,2385765.0,16388738.0
ANNE ARUNDEL MEDICAL CENTER INC.,ANNAPOLIS,Anne Arundel County,25,Moderate,13,0.10582907788026251,0.3098103182860734,0.4072094232982442,0.4547606173917596,,1,5,2,2,3,67655444.0,639289743.0,468899812.0,1113071000.0,453253000.0,398000.0,213237168.0
BALTIMORE WASHINGTON MEDICAL CENTER,GLEN BURNIE,Anne Arundel County,26,Moderate,13,0.03158387130746662,5.2262903246471515,0.37888389347823087,0.4564519428939019,,2,4,2,2,3,14705000.0,465585737.0,384395025.0,580088000.0,219786000.0,5504000.0,175457856.0
MEMORIAL EASTON,219 SOUTH WASHINGTON STREET,Maryland,27,Moderate,13,0.019947127204929884,,0.31816640217637726,0.4883828048774093,,3,3,2,2,3,5795000.0,290518025.0,196999747.0,551375000.0,175429000.0,,96211289.0
THE JOHNS HOPKINS HOSPITAL,BALTIMORE,Baltimore City,28,Moderate,13,0.01531225513091208,5.387746373584598,0.4220769498645858,0.35631979991864166,,3,4,2,1,3,39669000.0,2590670000.0,2390361221.0,3606712000.0,1522310000.0,35284000.0,851733032.0
SHEPPARD & ENOCH PRATT HOSPITAL,TOWSON,Baltimore County,29,Moderate,13,0.0626026970469142,175.98955408849613,0.526484895260594,1.1634039713201407,,1,1,3,5,3,11198288.0,178878683.0,146047858.0,430519675.0,226662106.0,70418897.0,169912658.0
SINAI HOSPITAL OF BALTIMORE  INC.,BALTIMORE,Baltimore City,30,Moderate,13,0.053703440233056565,27.415786544989597,0.6041407673764743,0.5641505479572342,,1,3,3,3,3,44255070.0,824063967.0,620089450.0,897708000.0,542342000.0,46576000.0,349823803.0
HOWARD COUNTY,COLUMBIA,Howard County,31,Moderate,12,0.0654105816490907,11.682801897187547,0.49635903422394934,0.45270388142672396,,1,4,2,2,3,20711383.0,316636582.0,289742994.0,442877000.0,219826000.0,9274000.0,131167778.0
MERITUS MEDICAL CENTER,HAGERSTOWN,Washington County,32,Moderate,12,0.22361970010383245,10.758621093581892,0.4487786507192882,0.5367589578129163,,1,4,2,2,3,102592795.0,458782455.0,329865228.0,881566000.0,395628000.0,9723000.0,177058116.0
GOOD SAMARITAN HOSPITAL,BALTIMORE,Baltimore City,33,Moderate,12,0.024331649545117896,0.007159429810972295,0.14719346934555308,0.5450181347751528,0.036301830112273024,2,5,1,2,2,6553821.0,269353748.0,215907557.0,195444792.0,28768197.0,4235.0,117673534.0
HARFORD MEMORIAL HOSPITAL,HAVRE DE GRACE,Harford County,34,Moderate,12,0.22289440165150748,-0.36466685250076847,0.07646358909594853,0.5266682093389962,,1,5,1,2,3,13654275.0,61258941.0,48405181.0,205621920.0,15722590.0,-48361.0,25493470.0
ST. MARYS HOSPITAL,LEONARDTOWN,St. Marys County,35,Moderate,11,0.030817373571666994,1.5164825336405479,0.09704159243871362,0.4360883425549796,0.030108005989001596,2,5,1,1,2,6083386.0,197401183.0,169501550.0,140353684.0,13620145.0,704236.0,73917650.0
MEDSTAR FRANKLIN SQUARE MEDICAL CTR,BALTIMORE,Baltimore City,36,Moderate,11,0.025341019146211695,0.026921174872159195,0.17676991325872182,0.42680231820478837,0.029935442594833345,2,5,1,1,2,14871419.0,586851654.0,463809067.0,334576693.0,59143093.0,34209.0,197954785.0
JAMES LAWRENCE KERNAN HOSPITAL,BALTIMORE,Baltimore City,37,Moderate,11,0.027052430882173243,22.533475970712118,0.15657540876455062,0.5028125798355391,,2,3,1,2,3,3399000.0,125644901.0,110179628.0,200421000.0,31381000.0,6802000.0,55399703.0
UPMC-WESTERN MARYLAND CORP,CUMBERLAND,Allegany County,38,Moderate,11,0.08107110703780715,25.118289404003985,0.0702119698876081,0.572351517981266,,1,3,1,3,3,26244229.0,323718646.0,264998165.0,323568318.0,22718369.0,18236440.0,151672102.0
CIVISTA MEDICAL CENTER,LA PLATA,Charles County,39,Low,10,0.06605488249387258,26.474703339407053,0.4019093266726298,0.4147073288226697,,1,3,2,1,3,11104000.0,168102638.0,130284746.0,177759000.0,71443000.0,9450000.0,54030039.0
GARRETT COUNTY MEMORIAL HOSPITAL,OAKLAND,Maryland,40,Low,10,0.1580971208207081,97.02861878710118,0.42937047216531965,0.620321694934861,0.024160282342090285,1,1,2,4,2,12969669.0,82036086.0,55532612.0,76760339.0,32958623.0,14762336.0,34448084.0
AHC SHADY GROVE MEDICAL CENTER,ROCKVILLE,Montgomery County,41,Low,10,0.07006660565130583,296.22955947115605,0.5165712855168754,0.46505924566690154,,1,1,3,2,3,31917754.0,455534469.0,382546120.0,760189515.0,392692075.0,310469777.0,177906610.0
SUBURBAN HOSPITAL,BETHESDA,Montgomery County,42,Low,10,0.08047303049198742,28.907127794815576,0.26843627632544176,0.4552146105696497,,1,3,1,2,3,29206969.0,362941085.0,334012603.0,693863000.0,186258000.0,26453000.0,152047417.0
ADVENTIST REHAB. HOSPT. OF MD,ROCKVILLE,Montgomery County,43,Low,10,0.03169261819067986,112.73863687885488,0.22138525770576817,0.5599366248573973,,2,1,1,3,3,2326069.0,73394662.0,70557001.0,53985695.0,11951637.0,21793151.0,39507449.0
HOLY CROSS HOSPITAL,SILVER SPRING,Montgomery County,44,Low,9,0.10427066709971226,117.78070677409622,0.7848948991826252,0.507787660871675,1.7637289976168536e-05,1,1,4,2,1,55436297.0,531657642.0,438703939.0,511271000.0,401294000.0,141564000.0,222768447.0
UNIVERSITY OF MARYLAND MED SYS,BALTIMORE,Baltimore City,45,Low,9,0.0628098197307468,42.158265537905315,0.47489434658619184,0.42098044403751156,,1,2,2,1,3,70167866.0,1117148024.0,856588982.0,2027046664.0,962633001.0,98937824.0,360607210.0
ENCOMPASS HEALTH REHABILITATION HOSP,SALISBURY,Wicomico County,46,Low,9,0.1959740865427386,69.34534800897741,0.18718638774335272,0.552632773653651,,1,1,1,3,3,7597698.0,38768891.0,27159285.0,25981526.0,4863388.0,5159918.0,15009111.0
CARROLL HOSPITAL CENTER,WESTMINSTER,Carroll County,47,Low,9,0.1346397621037271,143.36547640587446,0.38517490768457624,0.5020317824721167,,1,1,2,2,3,33924907.0,251967966.0,187073176.0,457670000.0,176283000.0,73479000.0,93916680.0
MERCY MEDICAL CENTER,BALTIMORE,Baltimore City,48,Low,8,0.08002330168345861,155.65414512591715,0.4582360321709066,0.47494296993931473,0.044786122138265896,1,1,2,2,2,46483929.0,580879919.0,486453980.0,1122121315.0,514196419.0,207448160.0,231037898.0
TIDALHEALTH PENINSULA REGIONAL INC,SALISBURY,Wicomico County,49,Low,7,0.17012323437602397,32.54106802512205,0.28827449116516257,0.4977815395281695,0.016513760141826508,1,2,1,2,1,91805235.0,539639605.0,376088513.0,744520662.0,214626315.0,33529649.0,187209919.0
CHESTER RIVER HOSPITAL CENTER,CHESTERTOWN,Kent County,50,Low,7,0.061951332583485584,601.5558345746983,0.08284812434764019,0.3980299200116593,,1,1,1,1,3,2941000.0,47472748.0,30506071.0,79519000.0,6588000.0,50277000.0,12142329.0
LEVINDAL HEBREW GER. CTR. & HOSPT.,BALTIMORE,Baltimore City,51,Low,7,0.11102485241401862,77.37254735835928,0.3181142135540901,0.45901277204177404,0.0010293018469083653,1,1,2,2,1,10038924.0,90420512.0,76295084.0,71270000.0,22672000.0,16173000.0,35020418.0
